# BCCWJ 短単位語彙表 ver1.0 (NINJAL, doi:10.15084/00003218) — palavras de conteúdo por lema UniDic,
# ordenadas pelo registro coloquial: Yahoo!知恵袋 (OC) + Yahoo!ブログ (OY), pmw somado.
# rank	lemma	lForm	pos	coloquial_pmw	geral_pmw
1	為る	スル	動詞-非自立可能	44708.653	24508.179
2	居る	イル	動詞-非自立可能	21699.947	11538.916
3	有る	アル	動詞-非自立可能	14865.867	9147.097
4	言う	イウ	動詞-一般	12730.615	7677.367
5	事	コト	名詞-普通名詞-一般	11445.438	7082.801
6	成る	ナル	動詞-非自立可能	11129.329	5391.740
7	無い	ナイ	形容詞-非自立可能	10262.016	4381.841
8	思う	オモウ	動詞-一般	8439.438	2189.807
9	良い	ヨイ	形容詞-非自立可能	8167.952	1902.202
10	様	ヨウ	形状詞-助動詞語幹	6086.472	3588.446
11	見る	ミル	動詞-非自立可能	6061.539	2133.800
12	行く	イク	動詞-非自立可能	5488.768	2110.801
13	来る	クル	動詞-非自立可能	5305.562	2276.164
14	出来る	デキル	動詞-非自立可能	4889.233	2002.449
15	時	トキ	名詞-普通名詞-副詞可能	4721.737	2246.473
16	物	モノ	名詞-普通名詞-サ変可能	4542.055	2727.353
17	人	ヒト	名詞-普通名詞-一般	4503.636	1499.726
18	方	ホウ	名詞-普通名詞-一般	4465.194	1056.031
19	下さる	クダサル	動詞-非自立可能	4064.683	691.390
20	どう	ドウ	副詞	3544.490	1126.855
21	日	ニチ	名詞-普通名詞-助数詞可能	3436.454	1403.590
22	そう	ソウ	副詞	3342.718	1624.606
23	年	ネン	名詞-普通名詞-助数詞可能	3131.359	2442.138
24	仕舞う	シマウ	動詞-非自立可能	2826.380	938.502
25	今	イマ	名詞-普通名詞-副詞可能	2647.485	909.204
26	自分	ジブン	名詞-普通名詞-一般	2632.740	1061.815
27	分かる	ワカル	動詞-一般	2570.809	841.592
28	遣る	ヤル	動詞-非自立可能	2391.723	863.645
29	月	ガツ	名詞-普通名詞-助数詞可能	2384.370	1551.326
30	出る	デル	動詞-一般	2381.434	771.371
31	使う	ツカウ	動詞-一般	2182.862	658.516
32	所	トコロ	名詞-普通名詞-副詞可能	2175.241	1069.405
33	今日	キョウ	名詞-普通名詞-副詞可能	2174.356	371.266
34	教える	オシエル	動詞-一般	2147.196	309.141
35	円	エン	名詞-普通名詞-助数詞可能	2123.042	765.349
36	前	マエ	名詞-普通名詞-副詞可能	2110.809	859.133
37	気	キ	名詞-普通名詞-一般	2109.155	558.653
38	後	アト	名詞-普通名詞-副詞可能	2077.066	758.447
39	聞く	キク	動詞-一般	1900.143	646.195
40	時間	ジカン	名詞-普通名詞-助数詞可能	1879.913	648.651
41	呉れる	クレル	動詞-非自立可能	1877.708	631.980
42	為	タメ	名詞-普通名詞-副詞可能	1777.909	1460.668
43	入る	ハイル	動詞-一般	1691.393	598.399
44	場合	バアイ	名詞-普通名詞-副詞可能	1649.666	920.684
45	皆	ミナ	名詞-普通名詞-副詞可能	1611.492	429.729
46	取る	トル	動詞-一般	1594.355	760.464
47	もう	モウ	副詞	1566.434	599.116
48	貰う	モラウ	動詞-非自立可能	1541.092	400.603
49	食べる	タベル	動詞-一般	1533.041	312.955
50	買う	カウ	動詞-一般	1511.035	264.443
51	度	ド	名詞-普通名詞-助数詞可能	1510.402	578.105
52	中	ナカ	名詞-普通名詞-副詞可能	1506.916	1117.190
53	多い	オオイ	形容詞-一般	1450.714	533.570
54	持つ	モツ	動詞-一般	1445.905	885.822
55	考える	カンガエル	動詞-一般	1443.116	945.729
56	笑い	ワライ	名詞-普通名詞-一般	1355.215	193.705
57	質問	シツモン	名詞-普通名詞-サ変可能	1338.088	223.750
58	因る	ヨル	動詞-一般	1328.273	1616.777
59	分	フン	名詞-普通名詞-助数詞可能	1305.153	536.724
60	知る	シル	動詞-一般	1288.317	616.590
61	作る	ツクル	動詞-一般	1286.323	553.357
62	本当	ホントウ	名詞-普通名詞-一般	1282.007	335.276
63	子供	コドモ	名詞-普通名詞-一般	1268.702	568.479
64	入れる	イレル	動詞-一般	1238.314	367.155
65	回	カイ	名詞-普通名詞-助数詞可能	1226.344	374.611
66	他	ホカ	名詞-普通名詞-副詞可能	1219.833	716.263
67	好き	スキ	形状詞-一般	1217.259	234.217
68	書く	カク	動詞-一般	1211.224	401.157
69	一寸	チョット	副詞	1183.194	284.861
70	願う	ネガウ	動詞-非自立可能	1165.375	194.518
71	みたい	ミタイ	形状詞-助動詞語幹	1164.111	231.521
72	矢張り	ヤハリ	副詞	1142.822	314.370
73	感じ	カンジ	名詞-普通名詞-一般	1125.099	193.361
74	頂く	イタダク	動詞-非自立可能	1115.110	338.765
75	置く	オク	動詞-非自立可能	1097.496	585.408
76	出す	ダス	動詞-非自立可能	1076.109	472.219
77	少し	スコシ	副詞	1070.539	337.025
78	良く	ヨク	副詞	1064.575	404.417
79	仕事	シゴト	名詞-普通名詞-サ変可能	1045.142	359.862
80	付ける	ツケル	動詞-非自立可能	1044.393	422.655
81	話	ハナシ	名詞-普通名詞-サ変可能	1040.871	466.847
82	メール	メール	名詞-普通名詞-サ変可能	1033.664	149.036
83	違う	チガウ	動詞-一般	1017.607	297.001
84	知れる	シレル	動詞-一般	1009.623	374.401
85	会社	カイシャ	名詞-普通名詞-一般	1002.393	393.519
86	ブログ	ブログ	名詞-普通名詞-一般	989.946	97.551
87	未だ	マダ	副詞	982.735	355.484
88	悪い	ワルイ	形容詞-一般	973.599	261.030
89	最近	サイキン	名詞-普通名詞-副詞可能	955.977	203.599
90	付く	ツク	動詞-非自立可能	950.762	421.049
91	写真	シャシン	名詞-普通名詞-一般	947.251	254.195
92	余り	アマリ	副詞	943.909	291.600
93	内	ウチ	名詞-普通名詞-副詞可能	916.059	431.889
94	子	コ	名詞-普通名詞-一般	907.885	282.557
95	訳	ワケ	名詞-普通名詞-一般	899.488	712.382
96	つく	ツク	動詞-一般	892.255	1096.180
97	必要	ヒツヨウ	名詞-普通名詞-形状詞可能	880.321	674.929
98	問題	モンダイ	名詞-普通名詞-一般	873.897	683.274
99	家	イエ	名詞-普通名詞-一般	854.679	334.788
100	昨日	キノウ	名詞-普通名詞-副詞可能	836.225	113.916
101	欲しい	ホシイ	形容詞-非自立可能	832.069	198.256
102	上げる	アゲル	動詞-非自立可能	825.684	364.230
103	侭	ママ	名詞-普通名詞-副詞可能	821.578	372.986
104	上	ウエ	名詞-普通名詞-副詞可能	818.950	493.947
105	凄い	スゴイ	形容詞-一般	814.089	141.723
106	女性	ジョセイ	名詞-普通名詞-一般	807.045	315.412
107	相手	アイテ	名詞-普通名詞-一般	806.371	276.764
108	普通	フツウ	名詞-普通名詞-形状詞可能	797.894	184.672
109	一番	イチバン	副詞	797.453	212.365
110	以上	イジョウ	名詞-普通名詞-副詞可能	792.269	446.171
111	頑張る	ガンバル	動詞-一般	785.466	113.333
112	気持ち	キモチ	名詞-普通名詞-一般	783.947	227.201
113	高い	タカイ	形容詞-一般	780.310	387.096
114	目	メ	名詞-普通名詞-一般	761.757	525.664
115	方法	ホウホウ	名詞-普通名詞-一般	757.689	318.519
116	意味	イミ	名詞-普通名詞-サ変可能	746.745	375.472
117	過ぎる	スギル	動詞-非自立可能	746.576	279.976
118	変わる	カワル	動詞-一般	746.570	280.378
119	美味しい	オイシイ	形容詞-一般	740.196	116.009
120	乗る	ノル	動詞-一般	728.802	187.798
121	掛かる	カカル	動詞-非自立可能	727.976	327.141
122	早い	ハヤイ	形容詞-一般	726.080	232.611
123	掛ける	カケル	動詞-非自立可能	724.996	387.048
124	可能	カノウ	形状詞-一般	720.887	347.588
125	飲む	ノム	動詞-一般	711.808	196.564
126	直ぐ	スグ	副詞	708.650	260.982
127	迚も	トテモ	副詞	707.721	180.237
128	関係	カンケイ	名詞-普通名詞-サ変可能	702.592	550.566
129	出品	シュッピン	名詞-普通名詞-サ変可能	696.675	73.548
130	友達	トモダチ	名詞-普通名詞-一般	695.581	122.318
131	可成	カナリ	副詞	691.894	190.388
132	手	テ	名詞-普通名詞-助数詞可能	689.861	451.314
133	車	クルマ	名詞-普通名詞-一般	689.139	206.696
134	今回	コンカイ	名詞-普通名詞-副詞可能	682.273	155.746
135	返る	カエル	動詞-一般	681.309	230.508
136	点	テン	名詞-普通名詞-助数詞可能	675.156	407.772
137	色々	イロイロ	副詞	674.886	225.547
138	明日	アス	名詞-普通名詞-副詞可能	669.417	108.027
139	見える	ミエル	動詞-一般	669.402	341.040
140	頃	コロ	名詞-普通名詞-副詞可能	668.293	309.065
141	市	シ	名詞-普通名詞-一般	663.963	487.619
142	金	カネ	名詞-普通名詞-一般	654.367	259.176
143	電話	デンワ	名詞-普通名詞-サ変可能	648.273	281.936
144	こう	コウ	副詞	647.687	565.592
145	感ずる	カンズル	動詞-一般	646.934	272.377
146	一緒	イッショ	名詞-普通名詞-サ変可能	645.165	212.642
147	まあ	マア	副詞	644.193	136.466
148	落札	ラクサツ	名詞-普通名詞-サ変可能	639.810	65.681
149	大きい	オオキイ	形容詞-一般	635.780	354.748
150	何故	ナゼ	副詞	633.534	221.360
151	店	ミセ	名詞-普通名詞-一般	633.128	154.886
152	読む	ヨム	動詞-一般	630.650	222.956
153	箇月	カゲツ	名詞-普通名詞-助数詞可能	629.456	180.170
154	止める	ヤメル	動詞-一般	620.591	209.516
155	因み	チナミ	名詞-普通名詞-一般	620.511	83.699
156	間	アイダ	名詞-普通名詞-副詞可能	617.888	477.859
157	回答	カイトウ	名詞-普通名詞-サ変可能	614.892	90.056
158	又	マタ	副詞	610.802	278.695
159	母	ハハ	名詞-普通名詞-一般	608.979	261.623
160	一人	ヒトリ	名詞-普通名詞-副詞可能	606.941	354.365
161	結婚	ケッコン	名詞-普通名詞-サ変可能	605.799	160.096
162	パーセント	パーセント	名詞-普通名詞-助数詞可能	603.806	605.970
163	会	カイ	名詞-普通名詞-一般	597.725	587.684
164	勧める	ススメル	動詞-一般	597.403	111.688
165	朝	アサ	名詞-普通名詞-副詞可能	591.688	132.575
166	状態	ジョウタイ	名詞-普通名詞-一般	590.931	242.696
167	沢山	タクサン	副詞	587.338	149.265
168	男	オトコ	名詞-普通名詞-一般	586.379	383.626
169	結構	ケッコウ	副詞	582.284	96.088
170	二人	フタリ	名詞-普通名詞-副詞可能	580.794	327.609
171	県	ケン	名詞-普通名詞-一般	577.884	364.555
172	サイト	サイト	名詞-普通名詞-一般	571.754	74.465
173	終わる	オワル	動詞-非自立可能	570.297	183.955
174	曲	キョク	名詞-普通名詞-一般	568.250	101.259
175	先	サキ	名詞-普通名詞-副詞可能	567.101	283.924
176	若し	モシ	副詞	563.272	195.656
177	今年	コトシ	名詞-普通名詞-副詞可能	561.575	107.377
178	現在	ゲンザイ	名詞-普通名詞-副詞可能	561.242	325.067
179	世界	セカイ	名詞-普通名詞-一般	556.958	410.410
180	全て	スベテ	名詞-普通名詞-副詞可能	554.333	326.510
181	受ける	ウケル	動詞-一般	550.406	407.648
182	情報	ジョウホウ	名詞-普通名詞-一般	543.377	376.494
183	言葉	コトバ	名詞-普通名詞-一般	542.044	367.930
184	別	ベツ	名詞-普通名詞-形状詞可能	538.729	315.957
185	商品	ショウヒン	名詞-普通名詞-一般	537.239	156.454
186	宜しく	ヨロシク	副詞	534.342	67.191
187	購入	コウニュウ	名詞-普通名詞-サ変可能	534.092	104.519
188	駄目	ダメ	名詞-普通名詞-形状詞可能	534.022	122.089
189	行う	オコナウ	動詞-一般	529.385	762.615
190	最後	サイゴ	名詞-普通名詞-一般	527.246	183.974
191	駅	エキ	名詞-普通名詞-一般	525.103	149.743
192	始める	ハジメル	動詞-非自立可能	523.042	294.133
193	人間	ニンゲン	名詞-普通名詞-一般	518.676	407.380
194	次	ツギ	名詞-普通名詞-一般	518.483	406.175
195	予定	ヨテイ	名詞-普通名詞-サ変可能	515.431	129.220
196	寝る	ネル	動詞-一般	513.024	102.082
197	全く	マッタク	副詞	510.918	216.408
198	場所	バショ	名詞-普通名詞-一般	509.699	247.992
199	花	ハナ	名詞-普通名詞-一般	508.519	162.199
200	奇麗	キレイ	形状詞-一般	507.850	112.004
201	体	カラダ	名詞-普通名詞-一般	506.888	359.441
202	使用	シヨウ	名詞-普通名詞-サ変可能	506.608	239.962
203	心	ココロ	名詞-普通名詞-サ変可能	506.266	305.910
204	顔	カオ	名詞-普通名詞-一般	504.011	378.578
205	テレビ	テレビ	名詞-普通名詞-一般	501.202	149.542
206	可愛い	カワイイ	形容詞-一般	501.140	85.812
207	学校	ガッコウ	名詞-普通名詞-一般	501.100	364.354
208	御座る	ゴザル	動詞-非自立可能	500.953	529.459
209	嫌	イヤ	形状詞-一般	500.129	121.840
210	会う	アウ	動詞-一般	498.178	181.049
211	名前	ナマエ	名詞-普通名詞-一般	497.538	153.175
212	以外	イガイ	名詞-普通名詞-副詞可能	497.045	185.007
213	少ない	スクナイ	形容詞-一般	493.558	240.650
214	筈	ハズ	名詞-普通名詞-一般	492.074	243.518
215	強い	ツヨイ	形容詞-一般	491.091	271.612
216	水	ミズ	名詞-普通名詞-一般	487.751	267.435
217	旨い	ウマイ	形容詞-一般	486.205	145.834
218	切る	キル	動詞-非自立可能	484.062	226.522
219	選手	センシュ	名詞-普通名詞-一般	483.569	113.342
220	嬉しい	ウレシイ	形容詞-一般	478.726	106.632
221	待つ	マツ	動詞-一般	478.135	192.253
222	勿論	モチロン	副詞	476.861	199.938
223	程度	テイド	名詞-普通名詞-一般	474.817	200.435
224	下	シタ	名詞-普通名詞-一般	474.475	292.843
225	先ず	マズ	副詞	473.487	261.508
226	男性	ダンセイ	名詞-普通名詞-一般	472.708	126.524
227	先生	センセイ	名詞-普通名詞-一般	471.957	258.019
228	送る	オクル	動詞-一般	466.043	135.194
229	大丈夫	ダイジョウブ	形状詞-一般	465.277	88.852
230	初めて	ハジメテ	副詞	463.297	182.703
231	評価	ヒョウカ	名詞-普通名詞-サ変可能	463.297	189.318
232	楽しい	タノシイ	形容詞-一般	461.664	120.502
233	連絡	レンラク	名詞-普通名詞-サ変可能	461.335	115.503
234	通り	トオリ	名詞-普通名詞-助数詞可能	460.520	306.828
235	映画	エイガ	名詞-普通名詞-一般	460.348	137.039
236	安い	ヤスイ	形容詞-一般	459.023	79.971
237	殆ど	ホトンド	名詞-普通名詞-副詞可能	458.028	215.596
238	クリック	クリック	名詞-普通名詞-サ変可能	456.265	96.394
239	長い	ナガイ	形容詞-一般	455.433	236.521
240	携帯	ケイタイ	名詞-普通名詞-サ変可能	455.113	80.373
241	生活	セイカツ	名詞-普通名詞-サ変可能	454.074	403.059
242	内容	ナイヨウ	名詞-普通名詞-一般	449.175	254.721
243	特に	トクニ	副詞	448.482	256.098
244	昔	ムカシ	名詞-普通名詞-副詞可能	445.016	140.748
245	確認	カクニン	名詞-普通名詞-サ変可能	442.944	164.244
246	対する	タイスル	動詞-一般	442.731	668.448
247	面白い	オモシロイ	形容詞-一般	442.009	115.225
248	番	バン	名詞-普通名詞-助数詞可能	438.461	128.847
249	話す	ハナス	動詞-一般	437.821	214.468
250	最初	サイショ	名詞-普通名詞-副詞可能	437.659	193.476
251	女	オンナ	名詞-普通名詞-一般	437.264	269.834
252	夜	ヨル	名詞-普通名詞-副詞可能	436.426	170.333
253	以前	イゼン	名詞-普通名詞-副詞可能	436.180	125.215
254	文字	モジ	名詞-普通名詞-一般	436.027	141.350
255	確か	タシカ	形状詞-一般	434.483	172.465
256	続く	ツヅク	動詞-非自立可能	434.248	191.574
257	撮影	サツエイ	名詞-普通名詞-サ変可能	432.668	97.828
258	パソコン	パソコン	名詞-普通名詞-一般	431.686	84.541
259	毎日	マイニチ	名詞-普通名詞-副詞可能	426.118	113.581
260	中々	ナカナカ	副詞	423.481	115.311
261	済む	スム	動詞-一般	422.085	122.452
262	結果	ケッカ	名詞-普通名詞-副詞可能	420.297	281.821
263	簡単	カンタン	形状詞-一般	418.890	131.858
264	病院	ビョウイン	名詞-普通名詞-一般	416.764	147.057
265	機	キ	名詞-普通名詞-助数詞可能	415.648	207.796
266	ソフト	ソフト	名詞-普通名詞-形状詞可能	414.477	78.375
267	村	ムラ	名詞-普通名詞-一般	413.649	205.071
268	参加	サンカ	名詞-普通名詞-サ変可能	412.049	209.077
269	もっと	モット	副詞	411.924	161.558
270	実際	ジッサイ	名詞-普通名詞-副詞可能	410.642	193.457
271	名	メイ	名詞-普通名詞-助数詞可能	410.121	254.205
272	時代	ジダイ	名詞-普通名詞-一般	406.990	337.981
273	大変	タイヘン	形状詞-一般	406.170	158.289
274	利用	リヨウ	名詞-普通名詞-サ変可能	405.081	337.952
275	無理	ムリ	名詞-普通名詞-形状詞可能	403.747	98.229
276	無し	ナシ	名詞-普通名詞-一般	403.459	112.138
277	忘れる	ワスレル	動詞-非自立可能	403.393	138.521
278	元	モト	名詞-普通名詞-一般	402.838	171.022
279	致す	イタス	動詞-非自立可能	397.656	227.726
280	個人	コジン	名詞-普通名詞-一般	395.367	171.003
281	売る	ウル	動詞-一般	394.209	86.032
282	頭	アタマ	名詞-普通名詞-一般	392.539	227.975
283	ネット	ネット	名詞-普通名詞-一般	391.847	61.427
284	代	ダイ	名詞-普通名詞-助数詞可能	391.815	243.422
285	ページ	ページ	名詞-普通名詞-助数詞可能	391.123	235.555
286	絶対	ゼッタイ	名詞-普通名詞-副詞可能	390.947	114.853
287	親	オヤ	名詞-普通名詞-一般	390.551	139.916
288	記事	キジ	名詞-普通名詞-一般	390.476	81.969
289	探す	サガス	動詞-一般	389.765	104.022
290	部分	ブブン	名詞-普通名詞-一般	387.809	237.018
291	変える	カエル	動詞-一般	386.696	152.668
292	遊ぶ	アソブ	動詞-一般	386.667	90.611
293	保険	ホケン	名詞-普通名詞-一般	386.500	248.938
294	ファン	ファン	名詞-普通名詞-一般	383.709	64.055
295	側	ガワ	名詞-普通名詞-一般	383.268	238.127
296	紹介	ショウカイ	名詞-普通名詞-サ変可能	382.366	140.366
297	心配	シンパイ	名詞-普通名詞-サ変形状詞可能	382.171	116.717
298	続ける	ツヅケル	動詞-非自立可能	381.625	258.497
299	理由	リユウ	名詞-普通名詞-一般	377.354	187.387
300	大学	ダイガク	名詞-普通名詞-一般	375.058	259.080
301	感	カン	名詞-普通名詞-一般	375.041	177.637
