# BCCWJ 長単位語彙表 ver1.0, frequência ≥ 2 (NINJAL, doi:10.15084/00003214). Só os compostos
# nominais (lema que não existe como unidade curta: 飛行機, 金曜日, 新幹線), sem nome próprio
# nem numeral, frequência ≥ 20. `coloquial_pmw` = Yahoo!知恵袋 + Yahoo!ブログ, a mesma régua de
# freq_bccwj_ja.tsv — é por ela que o composto ganha um rank comparável ao das palavras simples.
# lemma	lForm	pos	frequency	coloquial_pmw
皆さん	ミナサン	名詞-普通名詞-一般	14386	936.6832
御金	オカネ	名詞-普通名詞-一般	9958	485.9908
御店	オミセ	名詞-普通名詞-一般	5092	446.4500
可能性	カノウセイ	名詞-普通名詞-一般	13555	392.4631
出品者	シュッピンシャ	名詞-普通名詞-一般	2562	293.2571
にほんブログ村	ニホンブログムラ	名詞-普通名詞-一般	2090	254.3238
久し振り	ヒサシブリ	名詞-普通名詞-一般	3408	247.4802
人達	ヒトタチ	名詞-普通名詞-一般	12680	235.3229
御存知	ゴゾンジ	名詞-普通名詞-一般	2611	228.4561
知恵袋	チエフクロ	名詞-普通名詞-一般	1832	210.5620
日本人	ニッポンジン	名詞-普通名詞-一般	10317	209.1426
皆様	ミナサマ	名詞-普通名詞-一般	2935	206.2783
落札者	ラクサツシャ	名詞-普通名詞-一般	1736	200.5531
御母さん	オカアサン	名詞-普通名詞-一般	7098	179.7934
御互い	オタガイ	名詞-普通名詞-一般	4980	179.1180
基本的	キホンテキ	形状詞-一般	8250	175.7055
子供達	コドモタチ	名詞-普通名詞-一般	11353	171.0380
三人	サンニン	名詞-普通名詞-一般	7767	160.2810
個人的	コジンテキ	形状詞-一般	2838	158.0131
大きさ	オオキサ	名詞-普通名詞-一般	5922	140.3686
自転車	ジテンシャ	名詞-普通名詞-一般	3239	133.1875
奥さん	オクサン	名詞-普通名詞-一般	3672	132.6119
一般的	イッパンテキ	形状詞-一般	5929	131.3349
御友達	オトモダチ	名詞-普通名詞-一般	1541	126.2782
御風呂	オフロ	名詞-普通名詞-一般	1732	123.7472
日本語	ニッポンゴ	名詞-普通名詞-一般	4743	120.3650
誕生日	タンジョウヒ	名詞-普通名詞-一般	1894	118.4590
ホームページ	ホームページ	名詞-普通名詞-一般	2873	115.9746
御子さん	オコサン	名詞-普通名詞-一般	1769	109.7762
御客様	オキャクサマ	名詞-普通名詞-一般	2588	108.8099
其れ形	ソレナリ	名詞-普通名詞-一般	2687	107.3520
御話	オハナシ	名詞-普通名詞-一般	4940	103.6841
日曜日	ニチヨウヒ	名詞-普通名詞-一般	2091	102.9814
郵便局	ユウビンキョク	名詞-普通名詞-一般	1419	101.5290
具体的	グタイテキ	形状詞-一般	9333	100.1392
初心者	ショシンシャ	名詞-普通名詞-一般	1427	98.5558
しょう	ショウ	名詞-普通名詞-一般	1855	97.8352
結婚式	ケッコンシキ	名詞-普通名詞-一般	1747	96.6898
御菓子	オカシ	名詞-普通名詞-一般	1511	96.2329
ウインドーズ	ウインドーズ	名詞-普通名詞-一般	1786	95.7729
冷蔵庫	レイゾウコ	名詞-普通名詞-一般	2117	95.6342
